Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,14,Parotid gland,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,14,Parotid gland,0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,14,Parotid gland,1,954795,0.1047
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,14,Parotid gland,2,813295,0.2459
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,14,Parotid gland,2,689670,0.29
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,14,Parotid gland,2,589150,0.3395
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,14,Parotid gland,1,463275,0.2159
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,14,Parotid gland,4,379430,1.0542
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,14,Parotid gland,4,247215,1.618
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,14,Parotid gland,4,205510,1.9464
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,14,Parotid gland,0,147085,0.0
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,14,Parotid gland,0,104545,0.0
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,14,Parotid gland,1,54630,1.8305
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,14,Parotid gland,1,53160,1.8811
IX,1998-2002,2000,Pune (Poona),Male,85+,18,14,Parotid gland,0,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,15,"Salivary glands, other and unspecified",0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,15,"Salivary glands, other and unspecified",0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,15,"Salivary glands, other and unspecified",0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,15,"Salivary glands, other and unspecified",0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,15,"Salivary glands, other and unspecified",0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,15,"Salivary glands, other and unspecified",0,954795,0.0
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,15,"Salivary glands, other and unspecified",0,813295,0.0
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,15,"Salivary glands, other and unspecified",1,689670,0.145
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,15,"Salivary glands, other and unspecified",0,589150,0.0
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,15,"Salivary glands, other and unspecified",1,463275,0.2159
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,15,"Salivary glands, other and unspecified",1,379430,0.2636
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,15,"Salivary glands, other and unspecified",1,247215,0.4045
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,15,"Salivary glands, other and unspecified",1,205510,0.4866
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,15,"Salivary glands, other and unspecified",0,147085,0.0
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,15,"Salivary glands, other and unspecified",0,104545,0.0
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,15,"Salivary glands, other and unspecified",0,54630,0.0
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,15,"Salivary glands, other and unspecified",0,53160,0.0
IX,1998-2002,2000,Pune (Poona),Male,85+,18,15,"Salivary glands, other and unspecified",0,0,
