Cancer_Label,Sex,Period,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Rate_per_100k
Cervix uteri,Female,1998-2002,45-49,10,162,419695,38.59945913103563
Cervix uteri,Female,1998-2002,50-54,11,158,311145,50.78018287293705
Cervix uteri,Female,1998-2002,55-59,12,129,226335,56.99516203857114
Cervix uteri,Female,1998-2002,60-64,13,137,209555,65.37663143327526
Cervix uteri,Female,1998-2002,65-69,14,113,168525,67.05236611778668
Cervix uteri,Female,1998-2002,70-74,15,68,111500,60.9865470852018
Cervix uteri,Female,1998-2002,75-79,16,26,56570,45.96075658476224
Cervix uteri,Female,2003-2007,0-4,1,0,841379,0.0
Cervix uteri,Female,2003-2007,5-9,2,1,842661,0.11867168410547065
Cervix uteri,Female,2003-2007,10-14,3,0,1005738,0.0
Cervix uteri,Female,2003-2007,15-19,4,1,930824,0.10743169492836455
Cervix uteri,Female,2003-2007,20-24,5,3,1062940,0.2822360622424596
Cervix uteri,Female,2003-2007,25-29,6,12,1034593,1.1598763958387501
Cervix uteri,Female,2003-2007,30-34,7,28,842246,3.324444402229277
Cervix uteri,Female,2003-2007,35-39,8,76,773050,9.831188150831125
Cervix uteri,Female,2003-2007,40-44,9,106,579958,18.277185589301293
Cervix uteri,Female,2003-2007,45-49,10,144,513620,28.03629142167361
Cervix uteri,Female,2003-2007,50-54,11,144,377656,38.12993835659965
Cervix uteri,Female,2003-2007,55-59,12,133,269642,49.3246601048798
Cervix uteri,Female,2003-2007,60-64,13,139,244715,56.80076824060642
Cervix uteri,Female,2003-2007,65-69,14,104,210595,49.38388850637479
Cervix uteri,Female,2003-2007,70-74,15,63,136640,46.10655737704918
Cervix uteri,Female,2003-2007,75-79,16,37,141402,26.1665322979873
Cervix uteri,Female,2008-2011,0-4,1,0,829911,0.0
Cervix uteri,Female,2008-2011,5-9,2,0,761063,0.0
Cervix uteri,Female,2008-2011,10-14,3,0,1094154,0.0
Cervix uteri,Female,2008-2011,15-19,4,0,1006524,0.0
Cervix uteri,Female,2008-2011,20-24,5,2,1128163,0.17727934704470896
Cervix uteri,Female,2008-2011,25-29,6,10,1115926,0.8961167675992853
Cervix uteri,Female,2008-2011,30-34,7,18,901495,1.9966832872062517
Cervix uteri,Female,2008-2011,35-39,8,62,804982,7.702035573466239
Cervix uteri,Female,2008-2011,40-44,9,99,637887,15.519990217703137
Cervix uteri,Female,2008-2011,45-49,10,110,618364,17.78887516090846
Cervix uteri,Female,2008-2011,50-54,11,128,452736,28.27254735651682
Cervix uteri,Female,2008-2011,55-59,12,114,301253,37.841946802189526
Cervix uteri,Female,2008-2011,60-64,13,128,259687,49.290106936427314
Cervix uteri,Female,2008-2011,65-69,14,89,256286,34.726828621149814
Cervix uteri,Female,2008-2011,70-74,15,66,160934,41.010600618887246
Cervix uteri,Female,2008-2011,75-79,16,29,186746,15.529114412089148
Cervix uteri,Female,2013-2017,0-4,1,0,1074305,0.0
Cervix uteri,Female,2013-2017,5-9,2,0,963313,0.0
Cervix uteri,Female,2013-2017,10-14,3,0,907697,0.0
Cervix uteri,Female,2013-2017,15-19,4,0,996311,0.0
Cervix uteri,Female,2013-2017,20-24,5,2,1541215,0.1297677481727079
Cervix uteri,Female,2013-2017,25-29,6,7,1650504,0.4241128770363477
Cervix uteri,Female,2013-2017,30-34,7,13,1297818,1.0016812835081652
Cervix uteri,Female,2013-2017,35-39,8,45,1062421,4.235609047637424
Cervix uteri,Female,2013-2017,40-44,9,117,877902,13.327227868258642
Cervix uteri,Female,2013-2017,45-49,10,179,736162,24.315300164909353
Cervix uteri,Female,2013-2017,50-54,11,171,610618,28.00441519902787
Cervix uteri,Female,2013-2017,55-59,12,151,513842,29.38646510016698
Cervix uteri,Female,2013-2017,60-64,13,204,439699,46.39537501790998
Cervix uteri,Female,2013-2017,65-69,14,142,273122,51.99141775470302
Cervix uteri,Female,2013-2017,70-74,15,74,193940,38.15613076209137
Cervix uteri,Female,2013-2017,75-79,16,39,261372,14.92126165006198
Colon,Female,1993-1997,0-4,1,0,643220,0.0
Colon,Female,1993-1997,5-9,2,0,725190,0.0
Colon,Female,1993-1997,10-14,3,0,608940,0.0
Colon,Female,1993-1997,15-19,4,0,598555,0.0
Colon,Female,1993-1997,20-24,5,0,704920,0.0
Colon,Female,1993-1997,25-29,6,5,637700,0.7840677434530343
Colon,Female,1993-1997,30-34,7,3,556745,0.538846330007454
Colon,Female,1993-1997,35-39,8,4,530755,0.7536433947866717
Colon,Female,1993-1997,40-44,9,5,364390,1.3721562062625208
Colon,Female,1993-1997,45-49,10,9,242000,3.71900826446281
Colon,Female,1993-1997,50-54,11,8,177085,4.517604540192563
Colon,Female,1993-1997,55-59,12,13,147355,8.82223202470225
Colon,Female,1993-1997,60-64,13,14,156375,8.952837729816146
Colon,Female,1993-1997,65-69,14,15,91160,16.45458534444932
Colon,Female,1993-1997,70-74,15,9,65790,13.679890560875513
Colon,Female,1993-1997,75-79,16,6,33340,17.996400719856027
Colon,Male,1993-1997,0-4,1,0,654595,0.0
Colon,Male,1993-1997,5-9,2,0,797660,0.0
Colon,Male,1993-1997,10-14,3,0,615965,0.0
Colon,Male,1993-1997,15-19,4,0,665315,0.0
Colon,Male,1993-1997,20-24,5,2,721845,0.2770677915619004
Colon,Male,1993-1997,25-29,6,3,658605,0.4555082333113171
Colon,Male,1993-1997,30-34,7,6,603600,0.9940357852882704
Colon,Male,1993-1997,35-39,8,7,576945,1.2132872284186533
Colon,Male,1993-1997,40-44,9,5,483375,1.0343935867597622
Colon,Male,1993-1997,45-49,10,10,355980,2.8091465812686103
Colon,Male,1993-1997,50-54,11,16,243975,6.558048980428323
Colon,Male,1993-1997,55-59,12,18,145090,12.406092770004824
Colon,Male,1993-1997,60-64,13,16,160220,9.986268880289602
Colon,Male,1993-1997,65-69,14,11,86120,12.772875058058522
Colon,Male,1993-1997,70-74,15,13,67385,19.292127328040365
Colon,Male,1993-1997,75-79,16,15,29310,51.17707267144319
Colon,Female,1998-2002,0-4,1,0,756655,0.0
Colon,Female,1998-2002,5-9,2,0,778730,0.0
Colon,Female,1998-2002,10-14,3,0,870590,0.0
Colon,Female,1998-2002,15-19,4,0,798260,0.0
Colon,Female,1998-2002,20-24,5,2,912800,0.21910604732690622
Colon,Female,1998-2002,25-29,6,3,880815,0.3405936547402122
Colon,Female,1998-2002,30-34,7,6,713015,0.8414970232042803
Colon,Female,1998-2002,35-39,8,4,654240,0.6113964294448521
Colon,Female,1998-2002,40-44,9,5,485225,1.0304497913339172
Colon,Female,1998-2002,45-49,10,12,419695,2.859219194891528
Colon,Female,1998-2002,50-54,11,16,311145,5.142296999791094
Colon,Female,1998-2002,55-59,12,11,226335,4.860052576932423
Colon,Female,1998-2002,60-64,13,23,209555,10.975638853761541
Colon,Female,1998-2002,65-69,14,19,168525,11.274291648123423
Colon,Female,1998-2002,70-74,15,19,111500,17.040358744394617
Colon,Female,1998-2002,75-79,16,13,56570,22.98037829238112
Colon,Male,1998-2002,0-4,1,0,837385,0.0
Colon,Male,1998-2002,5-9,2,0,846900,0.0
Colon,Male,1998-2002,10-14,3,0,946070,0.0
Colon,Male,1998-2002,15-19,4,2,950555,0.21040339591081003
Colon,Male,1998-2002,20-24,5,0,1059265,0.0
Colon,Male,1998-2002,25-29,6,6,954795,0.6284071449892386
Colon,Male,1998-2002,30-34,7,4,813295,0.4918264590339299
Colon,Male,1998-2002,35-39,8,6,689670,0.8699812954021487
Colon,Male,1998-2002,40-44,9,7,589150,1.1881524229822626
Colon,Male,1998-2002,45-49,10,9,463275,1.9426906265177268
Colon,Male,1998-2002,50-54,11,22,379430,5.798170940621459
Colon,Male,1998-2002,55-59,12,10,247215,4.045061990575006
Colon,Male,1998-2002,60-64,13,23,205510,11.19166950513357
Colon,Male,1998-2002,65-69,14,18,147085,12.237821667743143
Colon,Male,1998-2002,70-74,15,11,104545,10.521784877325553
Colon,Male,1998-2002,75-79,16,16,54630,29.28793703093538
Colon,Female,2003-2007,0-4,1,0,841379,0.0
Colon,Female,2003-2007,5-9,2,0,842661,0.0
Colon,Female,2003-2007,10-14,3,0,1005738,0.0
Colon,Female,2003-2007,15-19,4,2,930824,0.2148633898567291
Colon,Female,2003-2007,20-24,5,3,1062940,0.2822360622424596
Colon,Female,2003-2007,25-29,6,6,1034593,0.5799381979193751
Colon,Female,2003-2007,30-34,7,2,842246,0.23746031444494842
Colon,Female,2003-2007,35-39,8,9,773050,1.164219649440528
Colon,Female,2003-2007,40-44,9,5,579958,0.8621313957217592
Colon,Female,2003-2007,45-49,10,15,513620,2.920447023091001
Colon,Female,2003-2007,50-54,11,12,377656,3.1774948630499713
Colon,Female,2003-2007,55-59,12,14,269642,5.19206948472419
Colon,Female,2003-2007,60-64,13,26,244715,10.624604131336453
Colon,Female,2003-2007,65-69,14,16,210595,7.597521308673046
Colon,Female,2003-2007,70-74,15,18,136640,13.173302107728338
Colon,Female,2003-2007,75-79,16,14,141402,9.900850058697896
Colon,Male,2003-2007,0-4,1,0,951909,0.0
Colon,Male,2003-2007,5-9,2,0,912393,0.0
Colon,Male,2003-2007,10-14,3,0,1103733,0.0
Colon,Male,2003-2007,15-19,4,0,1124183,0.0
Colon,Male,2003-2007,20-24,5,1,1258508,0.07945916911136044
Colon,Male,2003-2007,25-29,6,6,1130162,0.5308973403812904
Colon,Male,2003-2007,30-34,7,5,953709,0.5242689331861187
Colon,Male,2003-2007,35-39,8,10,799027,1.2515221638317604
Colon,Male,2003-2007,40-44,9,13,690338,1.8831355075339906
Colon,Male,2003-2007,45-49,10,17,548984,3.096629409964589
Colon,Male,2003-2007,50-54,11,21,458670,4.578455098436785
Colon,Male,2003-2007,55-59,12,20,295689,6.76386338348738
Colon,Male,2003-2007,60-64,13,33,236778,13.937105643260775
Colon,Male,2003-2007,65-69,14,26,178871,14.535615052188447
Colon,Male,2003-2007,70-74,15,31,125967,24.60961997983599
Colon,Male,2003-2007,75-79,16,20,130948,15.273238231969943
Colon,Female,2008-2011,0-4,1,0,829911,0.0
Colon,Female,2008-2011,5-9,2,0,761063,0.0
Colon,Female,2008-2011,10-14,3,0,1094154,0.0
Colon,Female,2008-2011,15-19,4,0,1006524,0.0
Colon,Female,2008-2011,20-24,5,2,1128163,0.17727934704470896
Colon,Female,2008-2011,25-29,6,2,1115926,0.17922335351985705
Colon,Female,2008-2011,30-34,7,3,901495,0.3327805478677086
Colon,Female,2008-2011,35-39,8,3,804982,0.37267914065159224
Colon,Female,2008-2011,40-44,9,8,637887,1.2541406236527786
Colon,Female,2008-2011,45-49,10,5,618364,0.8085852345867484
Colon,Female,2008-2011,50-54,11,11,452736,2.4296720384506645
Colon,Female,2008-2011,55-59,12,21,301253,6.9708849372454385
Colon,Female,2008-2011,60-64,13,14,259687,5.391105446171737
Colon,Female,2008-2011,65-69,14,17,256286,6.633214455725244
Colon,Female,2008-2011,70-74,15,26,160934,16.155691152894974
Colon,Female,2008-2011,75-79,16,14,186746,7.496813854112003
Colon,Male,2008-2011,0-4,1,0,998887,0.0
Colon,Male,2008-2011,5-9,2,0,807911,0.0
Colon,Male,2008-2011,10-14,3,0,1245851,0.0
Colon,Male,2008-2011,15-19,4,4,1270231,0.3149033522249103
Colon,Male,2008-2011,20-24,5,1,1437551,0.0695627494259334
Colon,Male,2008-2011,25-29,6,3,1271128,0.23601085020548676
Colon,Male,2008-2011,30-34,7,4,1026110,0.38982175400298213
Colon,Male,2008-2011,35-39,8,7,810974,0.8631596080762145
Colon,Male,2008-2011,40-44,9,13,720791,1.8035741289777478
Colon,Male,2008-2011,45-49,10,12,596503,2.011725003897717
Colon,Male,2008-2011,50-54,11,17,537176,3.1646983483997793
Colon,Male,2008-2011,55-59,12,26,345999,7.514472585180882
Colon,Male,2008-2011,60-64,13,32,243451,13.14432883824671
Colon,Male,2008-2011,65-69,14,36,210311,17.117506930212876
Colon,Male,2008-2011,70-74,15,29,131185,22.106185920646414
Colon,Male,2008-2011,75-79,16,25,172552,14.48838610969447
Colon,Female,2013-2017,0-4,1,0,1074305,0.0
Colon,Female,2013-2017,5-9,2,0,963313,0.0
Colon,Female,2013-2017,10-14,3,0,907697,0.0
Colon,Female,2013-2017,15-19,4,0,996311,0.0
Colon,Female,2013-2017,20-24,5,3,1541215,0.19465162225906185
Colon,Female,2013-2017,25-29,6,5,1650504,0.30293776931167693
Colon,Female,2013-2017,30-34,7,5,1297818,0.3852620321185251
Colon,Female,2013-2017,35-39,8,12,1062421,1.1294957460366464
Colon,Female,2013-2017,40-44,9,12,877902,1.3668951659752455
Colon,Female,2013-2017,45-49,10,23,736162,3.1243123116922633
Colon,Female,2013-2017,50-54,11,21,610618,3.4391387086525453
Colon,Female,2013-2017,55-59,12,32,513842,6.227595253015519
Colon,Female,2013-2017,60-64,13,55,439699,12.50855699012279
Colon,Female,2013-2017,65-69,14,50,273122,18.30683723757149
Colon,Female,2013-2017,70-74,15,42,193940,21.656182324430237
Colon,Female,2013-2017,75-79,16,21,261372,8.034525503879527
Colon,Male,2013-2017,0-4,1,0,1197333,0.0
Colon,Male,2013-2017,5-9,2,0,1112778,0.0
Colon,Male,2013-2017,10-14,3,0,1031264,0.0
Colon,Male,2013-2017,15-19,4,0,1142065,0.0
Colon,Male,2013-2017,20-24,5,5,1686156,0.29653246793297894
Colon,Male,2013-2017,25-29,6,4,1790878,0.22335413132552862
Colon,Male,2013-2017,30-34,7,13,1506026,0.8631989089165791
Colon,Male,2013-2017,35-39,8,14,1224909,1.1429420471235006
Colon,Male,2013-2017,40-44,9,16,964181,1.6594394620926984
Colon,Male,2013-2017,45-49,10,25,760050,3.2892572857048874
Colon,Male,2013-2017,50-54,11,51,641815,7.94621503081106
Colon,Male,2013-2017,55-59,12,38,536567,7.082060581437173
Colon,Male,2013-2017,60-64,13,66,456396,14.461125864380934
Colon,Male,2013-2017,65-69,14,72,299347,24.052353957113315
Colon,Male,2013-2017,70-74,15,47,197559,23.790361360403725
Colon,Male,2013-2017,75-79,16,44,237704,18.5104163160906
Corpus uteri,Female,1993-1997,0-4,1,0,643220,0.0
Corpus uteri,Female,1993-1997,5-9,2,1,725190,0.13789489650988015
Corpus uteri,Female,1993-1997,10-14,3,0,608940,0.0
Corpus uteri,Female,1993-1997,15-19,4,0,598555,0.0
Corpus uteri,Female,1993-1997,20-24,5,0,704920,0.0
Corpus uteri,Female,1993-1997,25-29,6,0,637700,0.0
Corpus uteri,Female,1993-1997,30-34,7,1,556745,0.17961544333581803
Corpus uteri,Female,1993-1997,35-39,8,4,530755,0.7536433947866717
Corpus uteri,Female,1993-1997,40-44,9,9,364390,2.4698811712725375
Corpus uteri,Female,1993-1997,45-49,10,9,242000,3.71900826446281
Corpus uteri,Female,1993-1997,50-54,11,10,177085,5.647005675240703
Corpus uteri,Female,1993-1997,55-59,12,20,147355,13.572664653388076
Corpus uteri,Female,1993-1997,60-64,13,16,156375,10.23181454836131
Corpus uteri,Female,1993-1997,65-69,14,6,91160,6.581834137779729
Corpus uteri,Female,1993-1997,70-74,15,9,65790,13.679890560875513
Corpus uteri,Female,1993-1997,75-79,16,6,33340,17.996400719856027
Corpus uteri,Female,1998-2002,0-4,1,0,756655,0.0
